,Food code,Main food description,WWEIA Category description,Ingredient description
147,11440070,"Vegetable dip, yogurt based","Dips, gravies, other sauces",Salad dressing  mayonnaise  regular
148,11440070,"Vegetable dip, yogurt based","Dips, gravies, other sauces",Yogurt  Greek  plain  lowfat
149,11440070,"Vegetable dip, yogurt based","Dips, gravies, other sauces",Salt  table  iodized
150,11440070,"Vegetable dip, yogurt based","Dips, gravies, other sauces",Onions  cooked  as ingredient
151,11440070,"Vegetable dip, yogurt based","Dips, gravies, other sauces",Spices  parsley  dried
808,12350250,"Vegetable dip, regular","Dips, gravies, other sauces",Salad dressing  mayonnaise  regular
809,12350250,"Vegetable dip, regular","Dips, gravies, other sauces",Cream  sour  cultured
810,12350250,"Vegetable dip, regular","Dips, gravies, other sauces",Salt  table  iodized
811,12350250,"Vegetable dip, regular","Dips, gravies, other sauces",Onions  cooked  as ingredient
812,12350250,"Vegetable dip, regular","Dips, gravies, other sauces",Spices  parsley  dried
813,12350255,"Vegetable dip, light","Dips, gravies, other sauces",Salad dressing  mayonnaise  light
814,12350255,"Vegetable dip, light","Dips, gravies, other sauces",Sour cream  light
815,12350255,"Vegetable dip, light","Dips, gravies, other sauces",Sugars  granulated
816,12350255,"Vegetable dip, light","Dips, gravies, other sauces",Salt  table  iodized
817,12350255,"Vegetable dip, light","Dips, gravies, other sauces",Onions  cooked  as ingredient
818,12350255,"Vegetable dip, light","Dips, gravies, other sauces",Spices  parsley  dried
1069,14202020,"Cheese, cottage, with vegetables",Cottage/ricotta cheese,Cheese  cottage  lowfat  2% milkfat
1070,14202020,"Cheese, cottage, with vegetables",Cottage/ricotta cheese,Vegetables  mixed  frozen  cooked  boiled  drained  without salt
1094,14410600,"Cheese, processed, with vegetables",Cheese,Cheese  cheddar (Includes foods for USDA's Food Distribution Program)
1095,14410600,"Cheese, processed, with vegetables",Cheese,Cheese  cream
1096,14410600,"Cheese, processed, with vegetables",Cheese,Pimento  canned
1097,14410600,"Cheese, processed, with vegetables",Cheese,Salt  table  iodized
1110,14610250,"Cheese, cottage cheese, with gelatin dessert and vegetables",Cottage/ricotta cheese,Cheese  cottage  creamed  large or small curd
1111,14610250,"Cheese, cottage cheese, with gelatin dessert and vegetables",Cottage/ricotta cheese,Gelatin desserts  dry mix  prepared with water
1112,14610250,"Cheese, cottage cheese, with gelatin dessert and vegetables",Cottage/ricotta cheese,Carrots  raw
