ingredient,food_description,ingredient_iD,carbs,cholesterol,fiber,calories,protein,sugar,monosaturated_fat,polysaturated_fat,saturated_fat,sodium
BUTTER,"BUTTER,WITH SALT",1001,0.06,215,0.0,717,0.85,0.059999999,21.021,3.043,51.368,576
BUTTER,"BUTTER,WHIPPED,WITH SALT",1002,0.06,219,0.0,717,0.85,0.059999999,23.426,3.012,50.489,827
BUTTER OIL,"BUTTER OIL,ANHYDROUS",1003,0.0,256,0.0,876,0.28,0.0,28.732,3.694,61.924,2
CHEESE,"CHEESE,BLUE",1004,2.34,75,0.0,353,21.4,0.5,7.778,0.8,18.669,1395
CHEESE,"CHEESE,BRICK",1005,2.79,94,0.0,371,23.24,0.50999999,8.598,0.784,18.764,560
CHEESE,"CHEESE,BRIE",1006,0.45,100,0.0,334,20.75,0.449999988,8.013,0.826,17.41,629
CHEESE,"CHEESE,CAMEMBERT",1007,0.46,72,0.0,300,19.8,0.460000008,7.023,0.724,15.259,842
CHEESE,"CHEESE,CARAWAY",1008,3.06,93,0.0,376,25.18,0.0,8.275,0.83,18.584,690
CHEESE,"CHEESE,CHEDDAR",1009,1.28,105,0.0,403,24.9,0.519999981,9.391,0.942,21.092,621
CHEESE,"CHEESE,CHESHIRE",1010,4.78,103,0.0,387,23.37,0.0,8.671,0.87,19.475,700
CHEESE,"CHEESE,COLBY",1011,2.57,95,0.0,394,23.76,0.519999981,9.28,0.953,20.218,604
CHEESE,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",1012,3.38,17,0.0,98,11.12,2.670000076,0.778,0.123,1.718,364
CHEESE,"CHEESE,COTTAGE,CRMD,W/FRUIT",1013,4.61,13,0.200000003,97,10.69,2.380000114,1.036,0.124,2.311,344
CHEESE,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",1014,6.66,7,0.0,72,10.34,1.850000024,0.079,0.003,0.169,330
CHEESE,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",1015,3.66,10,0.0,86,11.83,3.670000076,0.443,0.07,0.979,330
CHEESE,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",1016,2.72,4,0.0,72,12.39,2.720000029,0.291,0.031,0.645,406
CHEESE,"CHEESE,CREAM",1017,4.07,110,0.0,342,5.93,3.210000038,8.62,1.437,19.292,321
CHEESE,"CHEESE,EDAM",1018,1.43,89,0.0,357,24.99,1.429999948,8.125,0.665,17.572,965
