,Spoonacular Recipe ID,Recipe,Recipe Image URL,Recipe Image Type,Recipe Calories,Recipe Protein Content (grams),Recipe Fat Content (grams),Recipe Carbs Content (grams)
0,649131,Kung Po Chicken,https://spoonacular.com/recipeImages/649131-312x231.jpg,jpg,478,33g,34g,13g
1,656516,Poached Sole With Blood Orange Beurre Blanc,https://spoonacular.com/recipeImages/656516-312x231.jpg,jpg,311,29g,19g,4g
2,640843,Crispy Southern Fried Chicken,https://spoonacular.com/recipeImages/640843-312x231.jpg,jpg,613,36g,35g,36g
3,648467,Japanese Cucumber Salad,https://spoonacular.com/recipeImages/648467-312x231.jpg,jpg,26,1g,1g,4g
4,643561,Fresh Peach With Goat Cheese Side Salad,https://spoonacular.com/recipeImages/643561-312x231.jpg,jpg,179,7g,7g,26g
5,649718,Lemon Pasta Alfredo (Vegan),https://spoonacular.com/recipeImages/649718-312x231.jpg,jpg,950,21g,53g,98g
6,661765,Strawberry Brie Tartlets,https://spoonacular.com/recipeImages/661765-312x231.jpg,jpg,106,2g,6g,12g
7,661291,Spinach Cheese Tortellini,https://spoonacular.com/recipeImages/661291-312x231.jpg,jpg,420,15g,23g,41g
8,652753,Mussels Dijon,https://spoonacular.com/recipeImages/652753-312x231.jpg,jpg,419,4g,30g,15g
9,660283,SLOW COOKER CHICKEN GUMBO SOUP,https://spoonacular.com/recipeImages/660283-312x231.jpg,jpg,238,11g,5g,39g
10,653570,Old Fashioned Chocolate Pie,https://spoonacular.com/recipeImages/653570-312x231.jpg,jpg,501,10g,24g,62g
11,634573,Beef and Prune Casserole,https://spoonacular.com/recipeImages/634573-312x231.jpg,jpg,553,39g,28g,28g
12,665438,Wuxi Ribs,https://spoonacular.com/recipeImages/665438-312x231.jpg,jpg,738,40g,44g,23g
13,638148,Chicken Kale Bake,https://spoonacular.com/recipeImages/638148-312x231.jpg,jpg,416,28g,10g,52g
14,640921,Stuffed Artichoke Main Dish,https://spoonacular.com/recipeImages/640921-312x231.jpg,jpg,469,57g,9g,43g
15,642606,"Farro With Porcini, Chanterelles & Mascarpone",https://spoonacular.com/recipeImages/642606-312x231.jpg,jpg,418,9g,19g,54g
16,644835,Gluten Free Hamburger Buns,https://spoonacular.com/recipeImages/644835-312x231.jpg,jpg,652,21g,43g,55g
17,658813,Rosemary Walnut Bread,https://spoonacular.com/recipeImages/658813-312x231.jpg,jpg,308,9g,15g,36g
18,643789,Fried Salmon Cakes,https://spoonacular.com/recipeImages/643789-312x231.jpg,jpg,696,27g,31g,79g
19,648916,Kimchi/Kimchee/Gimchi (Korean Fermented Spicy Cabbage),https://spoonacular.com/recipeImages/648916-312x231.jpg,jpg,90,2g,0g,22g
20,982375,Instant Pot Pressure Cooker Pot Roast,https://spoonacular.com/recipeImages/982375-312x231.jpg,jpg,536,57g,16g,43g
21,637218,Carrot Raisin Chocolate Chip Cookies,https://spoonacular.com/recipeImages/637218-312x231.jpg,jpg,95,1g,4g,15g
22,640139,Corned Beef Hash with Kale,https://spoonacular.com/recipeImages/640139-312x231.jpg,jpg,408,17g,32g,15g
23,637178,Carrot Cake Cookie Sandwiches,https://spoonacular.com/recipeImages/637178-312x231.jpg,jpg,224,5g,9g,33g
24,633080,Authentic Kentucky Bourbon Balls,https://spoonacular.com/recipeImages/633080-312x231.jpg,jpg,64,0g,3g,9g
25,651103,Market Stuffed Squash Blossoms,https://spoonacular.com/recipeImages/651103-312x231.jpg,jpg,251,10g,10g,31g
26,640909,Croque-Madame with Asparagus,https://spoonacular.com/recipeImages/640909-312x231.jpg,jpg,591,37g,35g,32g
27,716334,Plantain Toffee Balls,https://spoonacular.com/recipeImages/716334-312x231.jpg,jpg,413,3g,20g,60g
28,1095713,Coconut Flour Muffins,https://spoonacular.com/recipeImages/1095713-312x231.jpg,jpg,150,1g,13g,6g
29,654429,Pan Seared Apple Almond Cake,https://spoonacular.com/recipeImages/654429-312x231.jpg,jpg,301,9g,21g,22g
