,Spoonacular Recipe ID,Recipe,Recipe Sodium,Recipe Sugar
0,632118,Almond Cranberry Cookies,41mg,1g
1,632118,Almond Cranberry Cookies,41mg,1g
2,632118,Almond Cranberry Cookies,41mg,1g
3,632118,Almond Cranberry Cookies,41mg,1g
4,632118,Almond Cranberry Cookies,41mg,1g
5,632118,Almond Cranberry Cookies,41mg,1g
6,632118,Almond Cranberry Cookies,41mg,1g
7,632118,Almond Cranberry Cookies,41mg,1g
8,632118,Almond Cranberry Cookies,41mg,1g
9,632118,Almond Cranberry Cookies,41mg,1g
10,632118,Almond Cranberry Cookies,41mg,1g
11,632118,Almond Cranberry Cookies,41mg,1g
12,632118,Almond Cranberry Cookies,41mg,1g
13,632118,Almond Cranberry Cookies,41mg,1g
14,632118,Almond Cranberry Cookies,41mg,1g
15,632118,Almond Cranberry Cookies,41mg,1g
16,632118,Almond Cranberry Cookies,41mg,1g
17,632118,Almond Cranberry Cookies,41mg,1g
18,632118,Almond Cranberry Cookies,41mg,1g
19,632118,Almond Cranberry Cookies,41mg,1g
20,632118,Almond Cranberry Cookies,41mg,1g
21,632118,Almond Cranberry Cookies,41mg,1g
22,632118,Almond Cranberry Cookies,41mg,1g
23,632118,Almond Cranberry Cookies,41mg,1g
24,632118,Almond Cranberry Cookies,41mg,1g
25,632118,Almond Cranberry Cookies,41mg,1g
26,632118,Almond Cranberry Cookies,41mg,1g
27,632118,Almond Cranberry Cookies,41mg,1g
28,632118,Almond Cranberry Cookies,41mg,1g
29,632118,Almond Cranberry Cookies,41mg,1g
30,632118,Almond Cranberry Cookies,41mg,1g
31,632118,Almond Cranberry Cookies,41mg,1g
32,632118,Almond Cranberry Cookies,41mg,1g
33,632118,Almond Cranberry Cookies,41mg,1g
34,632118,Almond Cranberry Cookies,41mg,1g
35,632118,Almond Cranberry Cookies,41mg,1g
36,632118,Almond Cranberry Cookies,41mg,1g
37,632118,Almond Cranberry Cookies,41mg,1g
38,632118,Almond Cranberry Cookies,41mg,1g
39,632118,Almond Cranberry Cookies,41mg,1g
