,Spoonacular Recipe ID,Recipe,Recipe Sodium,Recipe Sugar
0,631895,A Fruit That Descended From Paradise – Figs Poached In Red Wine,12mg,16g
1,632168,Almond Pistachio Cookied With Saffron Icing,26mg,7g
2,632176,Almond Ricotta Cake,67mg,17g
3,632622,Apple- Pomegranate Crisp,56mg,25g
4,633039,Aunt Ivy’s Raw Macadamia and Goji Berry Cookies,3mg,12g
5,633080,Authentic Kentucky Bourbon Balls,12mg,8g
6,633106,Autumn Sangria,1mg,9g
7,633111,Aval Kadala Burfi,4mg,5g
8,633302,Bacon Caramels,48mg,7g
9,633547,Baked Cinnamon Apple Slices,5mg,13g
10,633559,Baked Corned Beef with Sauteed Cabbage and Baked New Potatoes,88mg,17g
11,633652,Baked Jalapeno Dip,64mg,1g
12,634004,Banana Bread Nice Cream,1mg,15g
13,634141,Banana Oatmeal Breakfast Muffins,75mg,11g
14,634300,Barbecued Corn on the Cob With Spiced Butter,26mg,10g
15,635041,Bittersweet chocolate pudding,98mg,21g
16,635248,Blackberry Walnut Cookies,24mg,9g
17,635743,Bournvita Marshmallow Cookies,46mg,6g
18,636103,Brie With Cardamom-Scented Clementine Chutney,92mg,1g
19,636141,Broad Beans With Lemon & Thyme Vinaigrette,24mg,2g
20,636874,Candy Cane Chocolate Marshmallows,6mg,8g
21,637383,Chai Concentrate,22mg,25g
22,637761,Cherry ice cream,35mg,17g
23,637822,Chewy Chocolate Chip Cookies,76mg,14g
24,639165,Chocolate Pistachio Energy Bites,8mg,17g
25,639450,Cinnamon Cookies,30mg,5g
26,639618,Classic Mint Julep,17mg,15g
27,639715,Coconut Almond Macaroons,5mg,7g
28,639756,Coconut Custard Tarts With Dark Chocolate,67mg,8g
29,640204,Country Pork Skillet With Potatoes and Mushrooms,81mg,1g
30,640377,Hibiscus Cranberry Sauce,6mg,18g
31,640398,Cranberry Orange Scones,55mg,5g
32,640489,Cream Cheese Cookies,14mg,1g
33,640625,Creamy Chocolate Pudding With Coconut Whipped Cream,82mg,21g
34,640708,Creamy Squash Orzo,17mg,2g
35,641093,Curried Pork Chops and Cauliflower With Basmati Rice,89mg,6g
36,641649,Dried Cranberry Chocolate Cookies,93mg,16g
37,644586,Ginger Hottendots,40mg,11g
38,644885,Gluten Free Vegan Gnocchi,69mg,1g
39,644898,Gluten-free Pumpkin Doughnut Holes (a.k.a. Mini Muffins),57mg,4g
40,645479,Green Monster Ice Pops,92mg,9g
41,645516,Green Side Salad With Sweet and Spicy Basil Vinaigrette,50mg,3g
42,645555,Green Tomato Salad,25mg,7g
43,646825,Holiday Cookies,64mg,10g
44,647412,Hot Charlotte Cocktail,1mg,17g
45,647928,Insanely Chocolaty Chewable Sandwich Cookies,69mg,11g
46,649328,Lavender Tea With Lemon French Macarons,11mg,9g
47,649411,Lebanese Tabouleh,57mg,2g
48,649413,Lebanese Sweet Tahini Swirls,5mg,13g
49,650573,Macaroon Cookies,95mg,6g
50,650718,Mandarin and Ruby Red Grapefruit Tiramisu,74mg,21g
51,650755,Mango Black Tea Skinny Cocktail,2mg,1g
52,651773,Meyer Lemony Apple Crumble,76mg,18g
53,651837,Midnight Crackles Cookies,71mg,7g
54,651975,Mini Spiced Apple Tarts with Chocolate,65mg,13g
55,652964,Nasi Minyak (Malaysian Festive Rice),68mg,5g
56,653352,Nutella Brownies,47mg,17g
57,653810,Orange Banana Muffins With Pistachios,89mg,12g
58,654017,Oreo Bon Bons,60mg,10g
59,654517,"Pandan, Coconut and Chocolate Burfi",54mg,10g
60,654936,Pasta with Raw Tomato & Lemon Infused Olive Oil,7mg,0g
61,655130,Peach Melba,15mg,2g
