"Food code","Main food description","WWEIA Category description","Recipe"
"11440070","Vegetable dip, yogurt based","Dips, gravies, other sauces","Salad dressing  mayonnaise  regular, Yogurt  Greek  plain  lowfat, Salt  table  iodized, Onions  cooked  as ingredient, Spices  parsley  dried"
"12350250","Vegetable dip, regular","Dips, gravies, other sauces","Salad dressing  mayonnaise  regular, Cream  sour  cultured, Salt  table  iodized, Onions  cooked  as ingredient, Spices  parsley  dried"
"12350255","Vegetable dip, light","Dips, gravies, other sauces","Salad dressing  mayonnaise  light, Sour cream  light, Sugars  granulated, Salt  table  iodized, Onions  cooked  as ingredient, Spices  parsley  dried"
"14202020","Cheese, cottage, with vegetables","Cottage/ricotta cheese","Cheese  cottage  lowfat  2% milkfat, Vegetables  mixed  frozen  cooked  boiled  drained  without salt"
"14410600","Cheese, processed, with vegetables","Cheese","Cheese  cheddar (Includes foods for USDA's Food Distribution Program), Cheese  cream, Pimento  canned, Salt  table  iodized"
"14610250","Cheese, cottage cheese, with gelatin dessert and vegetables","Cottage/ricotta cheese","Cheese  cottage  creamed  large or small curd, Gelatin desserts  dry mix  prepared with water, Carrots  raw, Cabbage  raw, Celery  raw, Peppers  sweet  green  raw"
"14620310","Topping from vegetable pizza","Pizza","Sauce  pasta  spaghetti/marinara  ready-to-serve, Cheese  mozzarella  low moisture  part-skim, Onions  cooked  boiled  drained  without salt, Peppers  sweet  green  cooked  boiled  drained  without salt, Olives  ripe  canned (small-extra large)"
"14620330","Topping from meat and vegetable pizza","Pizza","Sauce  pasta  spaghetti/marinara  ready-to-serve, Cheese  mozzarella  low moisture  part-skim, Pepperoni  beef and pork  sliced, Sausage  Italian  pork  mild  cooked  pan-fried, Onions  cooked  boiled  drained  without salt, Peppers  sweet  green  cooked  boiled  drained  without salt"
"14650165","Alfredo sauce with added vegetables","Dips, gravies, other sauces","Alfredo sauce, Mushrooms  cooked  as ingredient, Summer squash  cooked  as ingredient, Peppers  sweet  green  cooked  boiled  drained  without salt, Red pepper  cooked  as ingredient"
"14650175","Alfredo sauce with meat and added vegetables","Dips, gravies, other sauces","Alfredo sauce with added vegetables, Ground beef  cooked"
"14650185","Alfredo sauce with poultry and added vegetables","Dips, gravies, other sauces","Alfredo sauce with added vegetables, Turkey  ground, Chicken  broiler  rotisserie  BBQ  breast  meat only"
"14650195","Alfredo sauce with seafood and added vegetables","Dips, gravies, other sauces","Alfredo sauce with added vegetables, Crustaceans  shrimp  mixed species  canned, Mollusks  clam  mixed species  canned  drained solids"
"27141035","Spaghetti sauce with poultry and added vegetables","Pasta sauces, tomato-based","Spaghetti sauce with added vegetables, Turkey  ground, Chicken  broiler  rotisserie  BBQ  breast  meat only"
"27146110","Sweet and sour chicken or turkey, without vegetables","Stir-fry and soy-based sauce mixtures","Restaurant  Chinese  sweet and sour chicken"
"27150155","Spaghetti sauce with seafood and added vegetables","Pasta sauces, tomato-based","Spaghetti sauce with added vegetables, Crustaceans  shrimp  mixed species  canned, Mollusks  clam  mixed species  canned  drained solids"
"27162060","Spaghetti sauce with meat and added vegetables","Pasta sauces, tomato-based","Spaghetti sauce with added vegetables, Ground beef  cooked"
"27311110","Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Vegetable oil  NFS, Potatoes  boiled  cooked without skin  flesh  without salt, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Salt  table  iodized"
"27311120","Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Vegetable oil  NFS, Potatoes  boiled  cooked without skin  flesh  without salt, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Salt  table  iodized"
"27311210","Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Meat mixed dishes","Beef  cured  corned beef  brisket  cooked, Vegetable oil  NFS, Potatoes  boiled  cooked without skin  flesh  without salt, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Salt  table  iodized"
"27311220","Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","Meat mixed dishes","Beef  cured  corned beef  brisket  cooked, Vegetable oil  NFS, Potatoes  boiled  cooked without skin  flesh  without salt, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Salt  table  iodized"
"27311310","Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Meat mixed dishes","Beef  chuck  arm pot roast  separable lean only  trimmed to 1/8"" fat  choice  raw, Carrots  raw, Onions  raw, Peas  green (includes baby and lesuer types)  canned  drained solids  unprepared, Tomatoes  red  ripe  canned  packed in tomato juice, Potatoes  flesh and skin  raw, Beverages  water  tap  drinking, Salt  table  iodized, Wheat flour  white  all-purpose  enriched  bleached, Vegetable oil  NFS, Beef stew  canned entree"
"27311320","Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce","Meat mixed dishes","Beef  chuck  arm pot roast  separable lean only  trimmed to 1/8"" fat  choice  raw, Potatoes  flesh and skin  raw, Onions  raw, Peas  green (includes baby and lesuer types)  canned  drained solids  unprepared, Tomatoes  red  ripe  canned  packed in tomato juice, Beverages  water  tap  drinking, Wheat flour  white  all-purpose  enriched  bleached, Salt  table  iodized, Vegetable oil  NFS"
"27311410","Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","Meat mixed dishes","Beef  chuck  arm pot roast  separable lean only  trimmed to 1/8"" fat  choice  raw, Carrots  raw, Onions  raw, Peas  green (includes baby and lesuer types)  canned  drained solids  unprepared, Potatoes  flesh and skin  raw, Beverages  water  tap  drinking, Salt  table  iodized, Wheat flour  white  all-purpose  enriched  bleached, Vegetable oil  NFS"
"27311420","Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","Meat mixed dishes","Beef  chuck  arm pot roast  separable lean only  trimmed to 1/8"" fat  choice  raw, Potatoes  flesh and skin  raw, Onions  raw, Peas  green (includes baby and lesuer types)  canned  drained solids  unprepared, Beverages  water  tap  drinking, Wheat flour  white  all-purpose  enriched  bleached, Salt  table  iodized, Vegetable oil  NFS"
"75440610","Vegetable curry with rice","Vegetable dishes","Vegetable curry, Rice  cooked  NFS"
"27311600","Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Gravy  chicken  canned or bottled  ready-to-serve, Potatoes  boiled  cooked without skin  flesh  without salt, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27311605","Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Gravy  chicken  canned or bottled  ready-to-serve, Potatoes  boiled  cooked without skin  flesh  without salt, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27311610","Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Soup  cream of mushroom  canned  condensed, Milk  NFS, Potatoes  boiled  cooked without skin  flesh  without salt, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27311620","Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Soup  cream of mushroom  canned  condensed, Milk  NFS, Potatoes  boiled  cooked without skin  flesh  without salt, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27311625","Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Tomato products  canned  sauce, Potatoes  boiled  cooked without skin  flesh  without salt, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27311630","Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Tomato products  canned  sauce, Potatoes  boiled  cooked without skin  flesh  without salt, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27311635","Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Cheese sauce  prepared from recipe, Potatoes  boiled  cooked without skin  flesh  without salt, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Salt  table  iodized"
"27311640","Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Cheese sauce  prepared from recipe, Potatoes  boiled  cooked without skin  flesh  without salt, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Salt  table  iodized"
"27311645","Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce","Stir-fry and soy-based sauce mixtures","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Vegetable oil  NFS, Garlic  raw, Ginger root  raw, Onions  cooked  boiled  drained  without salt, Onions  spring or scallions (includes tops and bulb)  raw, Soy sauce made from soy and wheat (shoyu), Soup  beef broth or bouillon canned  ready-to-serve, Potatoes  boiled  cooked without skin  flesh  without salt, Carrots  cooked  boiled  drained  without salt, Broccoli  cooked  as ingredient"
"27311650","Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce","Stir-fry and soy-based sauce mixtures","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Potatoes  boiled  cooked without skin  flesh  without salt, Peppers  sweet  green  cooked  boiled  drained  without salt, Green beans  cooked  as ingredient, Onions  cooked  boiled  drained  without salt, Mushrooms  white  cooked  boiled  drained  without salt, Garlic  raw, Ginger root  raw, Soup  beef broth or bouillon canned  ready-to-serve, Soy sauce made from soy and wheat (shoyu), Onions  spring or scallions (includes tops and bulb)  raw, Vegetable oil  NFS"
