,0
0,1515523
1,663559
2,638996
3,647197
4,655392
5,663587
6,663595
7,655406
8,647224
9,639054
10,647248
11,663641
12,647261
13,655455
14,647266
15,647268
16,663659
17,647277
18,647279
19,655477
20,655478
21,663680
22,647296
23,663689
24,655500
25,639116
26,647310
27,647311
28,663700
29,639125
30,639126
31,655514
32,639137
33,721059
34,655524
35,655534
36,663732
37,639160
38,639161
39,663742
40,663745
41,663748
42,663749
43,663755
44,663756
45,639179
46,647372
47,655570
48,655575
49,975070
50,647395
51,663792
52,663813
53,663822
54,663824
55,647442
56,655634
57,663833
58,721185
59,655649
60,663846
61,663847
62,663853
63,663861
64,663867
65,663868
66,655683
67,655687
68,663880
69,639306
70,663883
71,639310
72,647510
73,663908
74,655735
75,655737
76,663931
77,655740
78,663933
79,647551
80,639361
81,663942
82,663948
83,647572
84,647577
85,647579
86,639387
87,655778
88,663971
89,639401
90,655786
91,663979
92,655787
93,639411
94,639413
95,647606
96,729531
97,639433
98,664011
99,655822
100,664017
101,57810
102,647634
103,647638
104,639446
105,664025
106,664030
107,655838
108,647654
109,655847
110,647656
111,639465
112,655853
113,655858
114,639477
115,664054
116,1098240
117,639491
118,647693
119,918033
120,647698
121,664083
122,918034
123,639510
124,664089
125,639515
126,655903
127,639535
128,639537
129,664118
130,655926
131,664119
132,1098301
133,639557
134,664145
135,639569
136,82518
137,664152
138,639588
139,639590
140,639597
141,664174
142,1098351
143,639600
144,1098350
145,647795
146,639606
147,664184
148,639608
149,639628
150,639629
151,639632
152,1098388
153,639637
154,639644
155,656033
156,639650
157,639653
158,639656
159,639657
160,647867
161,1499853
162,664269
163,639697
164,664275
165,664280
166,664282
167,664284
168,664285
169,664288
170,639715
171,639722
172,664311
173,664312
174,647928
175,656125
176,656126
177,639752
178,639756
179,647956
180,639776
181,639778
182,795431
183,664359
184,639796
185,639798
186,639802
187,639804
188,639807
189,656200
190,648013
191,639833
192,639844
193,639850
194,664428
195,639853
196,648048
197,639865
198,795514
199,795513
200,656257
201,639891
202,656280
203,664474
204,648097
205,664489
206,656297
207,656298
208,664501
209,648118
210,631734
211,631744
212,656323
213,631750
214,656329
215,713675
216,631763
217,664533
218,648155
219,664551
220,631783
221,664565
222,664573
223,648190
224,640002
225,640003
226,631814
227,1459207
228,1459209
229,680975
230,631841
231,631843
232,640038
233,631846
234,648238
235,664624
236,640054
237,631863
238,664636
239,640062
240,648257
241,640067
242,631879
243,631882
244,631883
245,640077
246,664655
247,631894
248,664663
249,664664
250,640089
251,648279
252,640093
253,656481
254,795749
255,664678
256,795751
257,656488
258,648300
259,640109
260,648303
261,640123
262,656516
263,640134
264,640136
265,640139
266,640141
267,664718
268,640148
269,640151
270,664738
271,656548
272,640166
273,1516713
274,631983
275,648368
276,664754
277,632003
278,648389
279,640204
280,664780
281,632015
282,632021
283,648408
284,713957
285,640229
286,656617
287,640234
288,632043
289,648430
290,656630
291,656635
292,664828
293,648446
294,664835
